collab_id,period,year,month,source_dept,target_dept,collaboration_type,interactions_count,avg_resolution_days,satisfaction_score,outcome,region
COLLAB0114,2025-02-01,2025,Feb 2025,Sales,Finance,Project,49,5.4,84.6,Partial,North
COLLAB0115,2025-02-01,2025,Feb 2025,Sales,Finance,Escalation,46,1.2,64.0,Successful,West
COLLAB0116,2025-02-01,2025,Feb 2025,Sales,HR,Review,37,12.7,97.5,Successful,North
COLLAB0117,2025-02-01,2025,Feb 2025,Sales,HR,Training,30,14.9,61.1,Partial,East
COLLAB0118,2025-02-01,2025,Feb 2025,Sales,HR,Review,19,11.6,73.7,Successful,North
COLLAB0119,2025-02-01,2025,Feb 2025,Sales,HR,Review,26,3.5,94.0,Successful,Central
COLLAB0120,2025-02-01,2025,Feb 2025,Sales,IT,Escalation,15,7.9,80.2,Successful,West
COLLAB0121,2025-02-01,2025,Feb 2025,Sales,IT,Review,17,12.8,82.4,Successful,South
COLLAB0122,2025-02-01,2025,Feb 2025,Sales,Operations,Escalation,40,1.8,70.8,Partial,West
COLLAB0123,2025-02-01,2025,Feb 2025,Sales,Operations,Escalation,29,12.8,75.8,Successful,East
COLLAB0124,2025-02-01,2025,Feb 2025,Sales,Operations,Escalation,21,13.7,80.2,Partial,East
COLLAB0125,2025-03-01,2025,Mar 2025,Finance,HR,Training,31,8.4,59.5,Successful,East
COLLAB0126,2025-03-01,2025,Mar 2025,Finance,HR,Project,22,9.8,62.6,Failed,North
COLLAB0127,2025-03-01,2025,Mar 2025,Finance,IT,Support,13,14.0,74.3,Successful,East
COLLAB0128,2025-03-01,2025,Mar 2025,Finance,IT,Support,30,4.9,85.2,Successful,North
COLLAB0129,2025-03-01,2025,Mar 2025,Finance,IT,Review,33,9.7,75.5,Failed,Central
COLLAB0130,2025-03-01,2025,Mar 2025,Finance,Operations,Escalation,45,14.5,88.6,Partial,East
COLLAB0131,2025-03-01,2025,Mar 2025,Finance,Operations,Training,27,7.2,78.8,Successful,West
COLLAB0132,2025-03-01,2025,Mar 2025,Finance,Operations,Training,34,14.8,67.4,Failed,Central
COLLAB0133,2025-03-01,2025,Mar 2025,Finance,Operations,Escalation,33,2.7,56.8,Partial,South
COLLAB0134,2025-03-01,2025,Mar 2025,Finance,Sales,Escalation,44,7.5,97.1,Successful,Central
COLLAB0135,2025-03-01,2025,Mar 2025,Finance,Sales,Support,23,2.2,78.9,Partial,East
COLLAB0136,2025-03-01,2025,Mar 2025,Finance,Sales,Training,25,1.5,71.0,Failed,Central
COLLAB0137,2025-03-01,2025,Mar 2025,HR,Finance,Project,46,11.0,88.3,Successful,West
COLLAB0138,2025-03-01,2025,Mar 2025,HR,Finance,Project,43,12.2,57.1,Partial,Central
COLLAB0139,2025-03-01,2025,Mar 2025,HR,Finance,Support,15,1.1,77.1,Partial,Central
COLLAB0140,2025-03-01,2025,Mar 2025,HR,Finance,Support,35,6.6,93.5,Successful,West
COLLAB0141,2025-03-01,2025,Mar 2025,HR,IT,Support,15,5.9,91.7,Partial,Central
COLLAB0142,2025-03-01,2025,Mar 2025,HR,IT,Support,25,4.8,93.1,Successful,South
COLLAB0143,2025-03-01,2025,Mar 2025,HR,IT,Training,13,5.8,85.9,Successful,East
COLLAB0144,2025-03-01,2025,Mar 2025,HR,IT,Training,33,6.7,60.9,Failed,South
COLLAB0145,2025-03-01,2025,Mar 2025,HR,Operations,Review,43,9.3,71.9,Failed,West
COLLAB0146,2025-03-01,2025,Mar 2025,HR,Operations,Review,46,2.9,70.7,Successful,North
COLLAB0147,2025-03-01,2025,Mar 2025,HR,Sales,Support,14,7.3,82.3,Successful,Central
COLLAB0148,2025-03-01,2025,Mar 2025,HR,Sales,Support,44,11.5,78.3,Successful,Central
COLLAB0149,2025-03-01,2025,Mar 2025,IT,Finance,Support,22,5.6,94.1,Failed,South
COLLAB0150,2025-03-01,2025,Mar 2025,IT,Finance,Support,28,9.3,83.1,Partial,North
COLLAB0151,2025-03-01,2025,Mar 2025,IT,Finance,Support,18,3.2,92.6,Successful,South
COLLAB0152,2025-03-01,2025,Mar 2025,IT,Finance,Project,17,12.1,88.7,Successful,West
COLLAB0153,2025-03-01,2025,Mar 2025,IT,HR,Training,26,10.4,90.0,Failed,West
COLLAB0154,2025-03-01,2025,Mar 2025,IT,HR,Training,26,8.9,59.4,Partial,North
COLLAB0155,2025-03-01,2025,Mar 2025,IT,HR,Review,34,8.2,73.6,Failed,North
COLLAB0156,2025-03-01,2025,Mar 2025,IT,Operations,Training,48,1.6,65.6,Successful,East
COLLAB0157,2025-03-01,2025,Mar 2025,IT,Operations,Project,16,5.4,57.2,Successful,East
COLLAB0158,2025-03-01,2025,Mar 2025,IT,Sales,Project,39,10.8,63.9,Successful,North
COLLAB0159,2025-03-01,2025,Mar 2025,IT,Sales,Training,18,6.8,55.1,Successful,South
COLLAB0160,2025-03-01,2025,Mar 2025,IT,Sales,Project,12,8.1,76.0,Partial,North
COLLAB0161,2025-03-01,2025,Mar 2025,IT,Sales,Project,19,11.9,91.2,Successful,East
COLLAB0162,2025-03-01,2025,Mar 2025,Operations,Finance,Support,19,7.7,84.4,Successful,South
COLLAB0163,2025-03-01,2025,Mar 2025,Operations,Finance,Support,16,1.7,74.8,Successful,Central
COLLAB0164,2025-03-01,2025,Mar 2025,Operations,HR,Escalation,32,2.9,94.5,Successful,North
COLLAB0165,2025-03-01,2025,Mar 2025,Operations,HR,Project,5,1.4,59.8,Successful,West
COLLAB0166,2025-03-01,2025,Mar 2025,Operations,HR,Escalation,8,9.3,91.5,Successful,East
COLLAB0167,2025-03-01,2025,Mar 2025,Operations,HR,Review,5,9.7,62.0,Partial,Central
COLLAB0168,2025-03-01,2025,Mar 2025,Operations,IT,Training,43,13.9,74.5,Successful,Central
COLLAB0169,2025-03-01,2025,Mar 2025,Operations,IT,Escalation,8,12.4,68.7,Failed,South
COLLAB0170,2025-03-01,2025,Mar 2025,Operations,IT,Review,40,4.0,72.8,Partial,West
COLLAB0171,2025-03-01,2025,Mar 2025,Operations,IT,Support,43,5.9,55.8,Successful,North
COLLAB0172,2025-03-01,2025,Mar 2025,Operations,Sales,Project,43,11.3,68.6,Partial,West
COLLAB0173,2025-03-01,2025,Mar 2025,Operations,Sales,Project,45,2.8,61.2,Successful,West
COLLAB0174,2025-03-01,2025,Mar 2025,Operations,Sales,Escalation,40,14.9,55.2,Successful,East
COLLAB0175,2025-03-01,2025,Mar 2025,Operations,Sales,Training,5,9.2,60.5,Failed,East
COLLAB0176,2025-03-01,2025,Mar 2025,Sales,Finance,Project,44,9.7,66.7,Successful,West
COLLAB0177,2025-03-01,2025,Mar 2025,Sales,Finance,Project,10,10.3,91.0,Successful,South
COLLAB0178,2025-03-01,2025,Mar 2025,Sales,Finance,Project,5,4.2,92.6,Successful,Central
COLLAB0179,2025-03-01,2025,Mar 2025,Sales,Finance,Support,13,6.5,84.1,Partial,East
COLLAB0180,2025-03-01,2025,Mar 2025,Sales,HR,Escalation,17,14.8,73.0,Successful,West
COLLAB0181,2025-03-01,2025,Mar 2025,Sales,HR,Training,28,12.1,77.4,Successful,East
COLLAB0182,2025-03-01,2025,Mar 2025,Sales,HR,Review,39,6.5,84.4,Successful,Central
COLLAB0183,2025-03-01,2025,Mar 2025,Sales,IT,Project,16,3.8,91.9,Failed,North
COLLAB0184,2025-03-01,2025,Mar 2025,Sales,IT,Training,46,7.6,86.5,Successful,West
COLLAB0185,2025-03-01,2025,Mar 2025,Sales,IT,Training,23,11.4,86.4,Successful,East
COLLAB0186,2025-03-01,2025,Mar 2025,Sales,Operations,Escalation,24,13.7,92.2,Successful,North
COLLAB0187,2025-03-01,2025,Mar 2025,Sales,Operations,Training,40,3.9,87.0,Successful,East
COLLAB0188,2025-03-01,2025,Mar 2025,Sales,Operations,Project,49,11.1,93.2,Failed,South
COLLAB0189,2025-04-01,2025,Apr 2025,Finance,HR,Support,20,9.1,72.6,Successful,West
COLLAB0190,2025-04-01,2025,Apr 2025,Finance,HR,Project,32,7.5,63.5,Failed,South
COLLAB0191,2025-04-01,2025,Apr 2025,Finance,HR,Support,39,3.3,84.4,Successful,North
COLLAB0192,2025-04-01,2025,Apr 2025,Finance,IT,Support,37,2.4,87.4,Failed,South
COLLAB0193,2025-04-01,2025,Apr 2025,Finance,IT,Review,44,3.8,63.0,Successful,East
COLLAB0194,2025-04-01,2025,Apr 2025,Finance,Operations,Project,26,1.6,75.7,Successful,North
COLLAB0195,2025-04-01,2025,Apr 2025,Finance,Operations,Training,35,2.5,65.9,Partial,East
COLLAB0196,2025-04-01,2025,Apr 2025,Finance,Operations,Project,18,13.3,93.8,Partial,North
COLLAB0197,2025-04-01,2025,Apr 2025,Finance,Sales,Escalation,49,2.0,60.9,Failed,Central
COLLAB0198,2025-04-01,2025,Apr 2025,Finance,Sales,Support,24,12.8,81.5,Successful,North
COLLAB0199,2025-04-01,2025,Apr 2025,Finance,Sales,Review,29,4.5,61.9,Successful,North
COLLAB0200,2025-04-01,2025,Apr 2025,Finance,Sales,Training,28,5.1,71.0,Successful,West
COLLAB0201,2025-04-01,2025,Apr 2025,HR,Finance,Review,6,3.9,95.5,Partial,West
COLLAB0202,2025-04-01,2025,Apr 2025,HR,Finance,Review,10,2.4,66.4,Failed,North
COLLAB0203,2025-04-01,2025,Apr 2025,HR,Finance,Training,34,7.3,65.5,Successful,East
COLLAB0204,2025-04-01,2025,Apr 2025,HR,Finance,Training,36,13.2,69.6,Partial,East
COLLAB0205,2025-04-01,2025,Apr 2025,HR,IT,Escalation,16,3.3,95.4,Successful,North
COLLAB0206,2025-04-01,2025,Apr 2025,HR,IT,Training,19,7.9,77.8,Partial,East
COLLAB0207,2025-04-01,2025,Apr 2025,HR,IT,Support,29,2.8,60.4,Successful,North
COLLAB0208,2025-04-01,2025,Apr 2025,HR,Operations,Project,26,3.3,78.8,Failed,Central
COLLAB0209,2025-04-01,2025,Apr 2025,HR,Operations,Support,44,2.7,94.4,Successful,North
COLLAB0210,2025-04-01,2025,Apr 2025,HR,Operations,Project,19,7.5,72.2,Partial,East
COLLAB0211,2025-04-01,2025,Apr 2025,HR,Operations,Review,42,12.5,86.9,Successful,Central
COLLAB0212,2025-04-01,2025,Apr 2025,HR,Sales,Review,42,5.8,57.2,Successful,Central
COLLAB0213,2025-04-01,2025,Apr 2025,HR,Sales,Training,20,9.7,87.3,Partial,West
COLLAB0214,2025-04-01,2025,Apr 2025,HR,Sales,Escalation,14,7.1,82.5,Successful,Central
COLLAB0215,2025-04-01,2025,Apr 2025,IT,Finance,Project,17,1.9,74.7,Failed,South
COLLAB0216,2025-04-01,2025,Apr 2025,IT,Finance,Escalation,10,9.9,71.9,Successful,North
COLLAB0217,2025-04-01,2025,Apr 2025,IT,Finance,Training,23,7.5,83.4,Successful,West
COLLAB0218,2025-04-01,2025,Apr 2025,IT,Finance,Escalation,31,14.3,69.7,Successful,East
COLLAB0219,2025-04-01,2025,Apr 2025,IT,HR,Project,35,1.6,74.3,Partial,South
COLLAB0220,2025-04-01,2025,Apr 2025,IT,HR,Training,17,8.4,83.4,Partial,Central
COLLAB0221,2025-04-01,2025,Apr 2025,IT,Operations,Support,37,11.3,72.3,Failed,South
COLLAB0222,2025-04-01,2025,Apr 2025,IT,Operations,Training,30,8.1,94.0,Partial,South
COLLAB0223,2025-04-01,2025,Apr 2025,IT,Sales,Project,34,6.7,73.9,Successful,South
COLLAB0224,2025-04-01,2025,Apr 2025,IT,Sales,Project,19,10.2,83.5,Successful,West
COLLAB0225,2025-04-01,2025,Apr 2025,IT,Sales,Support,5,3.8,88.5,Successful,Central
COLLAB0226,2025-04-01,2025,Apr 2025,Operations,Finance,Escalation,16,2.8,66.8,Partial,West
COLLAB0227,2025-04-01,2025,Apr 2025,Operations,Finance,Project,17,13.7,63.7,Successful,West
COLLAB0228,2025-04-01,2025,Apr 2025,Operations,Finance,Training,29,14.3,81.2,Partial,West
COLLAB0229,2025-04-01,2025,Apr 2025,Operations,Finance,Support,7,14.7,72.2,Partial,South
COLLAB0230,2025-04-01,2025,Apr 2025,Operations,HR,Escalation,29,13.3,81.2,Successful,East
COLLAB0231,2025-04-01,2025,Apr 2025,Operations,HR,Support,24,13.0,68.9,Failed,Central
COLLAB0232,2025-04-01,2025,Apr 2025,Operations,HR,Review,24,5.7,65.5,Successful,West
COLLAB0233,2025-04-01,2025,Apr 2025,Operations,IT,Training,19,14.7,87.0,Failed,Central
COLLAB0234,2025-04-01,2025,Apr 2025,Operations,IT,Training,39,7.7,74.6,Partial,West
COLLAB0235,2025-04-01,2025,Apr 2025,Operations,IT,Support,33,4.6,80.2,Partial,South
COLLAB0236,2025-04-01,2025,Apr 2025,Operations,Sales,Review,34,13.0,62.2,Successful,Central
COLLAB0237,2025-04-01,2025,Apr 2025,Operations,Sales,Support,5,12.2,91.1,Successful,South
COLLAB0238,2025-04-01,2025,Apr 2025,Operations,Sales,Project,32,6.5,97.9,Partial,North
COLLAB0239,2025-04-01,2025,Apr 2025,Sales,Finance,Project,6,9.7,95.1,Successful,East
COLLAB0240,2025-04-01,2025,Apr 2025,Sales,Finance,Support,49,2.9,89.0,Successful,South
COLLAB0241,2025-04-01,2025,Apr 2025,Sales,HR,Review,44,2.6,90.8,Partial,East
COLLAB0242,2025-04-01,2025,Apr 2025,Sales,HR,Project,27,8.0,84.5,Successful,East
COLLAB0243,2025-04-01,2025,Apr 2025,Sales,IT,Escalation,6,8.2,59.1,Failed,Central
COLLAB0244,2025-04-01,2025,Apr 2025,Sales,IT,Escalation,37,5.5,74.8,Failed,North
COLLAB0245,2025-04-01,2025,Apr 2025,Sales,IT,Review,21,5.9,88.9,Successful,West
COLLAB0246,2025-04-01,2025,Apr 2025,Sales,IT,Escalation,42,6.8,68.8,Partial,South
COLLAB0247,2025-04-01,2025,Apr 2025,Sales,Operations,Escalation,41,13.5,61.2,Successful,East
COLLAB0248,2025-04-01,2025,Apr 2025,Sales,Operations,Training,19,8.5,57.9,Successful,North
COLLAB0249,2025-04-01,2025,Apr 2025,Sales,Operations,Review,7,7.1,88.3,Successful,North
COLLAB0250,2025-04-01,2025,Apr 2025,Sales,Operations,Project,38,3.4,61.3,Partial,Central
COLLAB0251,2025-05-01,2025,May 2025,Finance,HR,Training,29,12.5,59.0,Partial,East
COLLAB0252,2025-05-01,2025,May 2025,Finance,HR,Review,22,4.6,87.4,Partial,South
COLLAB0253,2025-05-01,2025,May 2025,Finance,IT,Review,38,6.2,64.4,Successful,West
COLLAB0254,2025-05-01,2025,May 2025,Finance,IT,Support,48,2.2,62.6,Partial,North
COLLAB0255,2025-05-01,2025,May 2025,Finance,IT,Project,12,6.6,97.6,Partial,Central
COLLAB0256,2025-05-01,2025,May 2025,Finance,Operations,Training,34,6.5,92.6,Successful,Central
COLLAB0257,2025-05-01,2025,May 2025,Finance,Operations,Training,25,4.1,83.2,Partial,North
COLLAB0258,2025-05-01,2025,May 2025,Finance,Sales,Support,5,8.7,90.6,Partial,East
COLLAB0259,2025-05-01,2025,May 2025,Finance,Sales,Support,36,1.7,80.9,Successful,South
COLLAB0260,2025-05-01,2025,May 2025,Finance,Sales,Review,17,11.6,90.5,Successful,East
COLLAB0261,2025-05-01,2025,May 2025,Finance,Sales,Support,30,4.8,77.4,Successful,North
COLLAB0262,2025-05-01,2025,May 2025,HR,Finance,Review,30,1.9,55.0,Partial,North
COLLAB0263,2025-05-01,2025,May 2025,HR,Finance,Support,39,3.4,93.3,Failed,West
COLLAB0264,2025-05-01,2025,May 2025,HR,IT,Review,42,1.8,64.3,Successful,Central
COLLAB0265,2025-05-01,2025,May 2025,HR,IT,Review,31,10.5,64.2,Successful,Central
COLLAB0266,2025-05-01,2025,May 2025,HR,Operations,Review,14,3.5,60.8,Successful,West
COLLAB0267,2025-05-01,2025,May 2025,HR,Operations,Training,20,1.8,70.4,Successful,South
COLLAB0268,2025-05-01,2025,May 2025,HR,Sales,Support,23,13.4,95.0,Partial,South
